pitch_type,RelSpeed_mean,RelSpeed_sd,SpinRate_mean,SpinRate_sd,InducedVertBreak_mean,InducedVertBreak_sd,HorzBreak_mean,HorzBreak_sd,VertApprAngle_mean,VertApprAngle_sd,HorzApprAngle_mean,HorzApprAngle_sd,RelHeight_mean,RelHeight_sd,RelSide_mean,RelSide_sd,Extension_mean,Extension_sd,comp_mean,comp_sd,comp_n
ChangeUp,80.77522735934927,3.6099496812970693,1738.7079210258935,339.10708454361617,6.679298735296391,5.59650671315946,4.894847070871011,13.98548192579036,-7.452102723657303,1.304093717999505,-0.18164467081430571,1.4968661599725428,5.608326444408567,0.520208194627425,0.6280059505358488,1.8577045181837286,5.873182534246838,0.5581818168610636,0.5401166164749838,0.25997885179676783,260148
Changeup,78.05805,1.370429999999894,1681.1580705000001,22.519111499985247,12.310535,1.0372650000000074,-16.981095,1.05970500000001,-6.9378205,0.4553245000000049,-1.2523455000000001,0.6538744999999999,5.985505,0.08735500000003432,-1.16803,0.037880000000005826,5.798795,0.12716499999999503,0.6666666666666025,0.333333333333418,2
Curveball,76.27476460749814,4.021753199077968,2335.007124643356,314.35215081865283,-7.76276535306707,6.937508345121376,-4.048425126846588,10.103056482361136,-9.391227678126562,1.5711805408543824,-1.174893403545728,2.6994087965351636,5.883615871029017,0.46062774483567054,0.6547390646194309,1.5671976800356155,5.406374168919577,0.5311206875922166,0.5306888422744598,0.27855090290845935,164254
Cutter,84.20893842230166,3.442523782221428,2303.521374167972,241.26405578731647,6.330041327685892,4.550573490899174,-0.8801176042023409,4.923601444128418,-6.956684588622868,1.2847529188481988,-1.6205436863828893,2.2002352296819927,5.722255376550812,0.4830056832125587,1.1531009055043209,1.523086610841637,5.731979144734208,0.5207720270177405,0.5038821762472405,0.2823390748618383,99867
Fastball,88.5748862559399,3.718949718114863,2175.533299324542,194.5852756783794,15.460238224051588,5.151509942207179,5.064787610246965,11.132423592044551,-5.462355171068257,1.2072900191318185,-0.395973388025007,1.4543385380498928,5.771204272017145,0.5560791269008848,0.7578967744810007,1.6432177023426942,5.95514393842113,0.5434347634859579,0.5229263731056157,0.2741997988966646,1069462
FourSeamFastBall,89.50452328921675,3.1751185625857707,2199.033696059318,179.3336158429697,16.528181059436843,4.256588879525072,4.300829849207166,10.237347460285509,-5.2602496665677,1.1488065584882776,-0.3735822303616494,1.4788925462602853,5.7980708809994175,0.4954909160973725,0.6716272324171243,1.6570993335628346,5.944980626078017,0.542090308472126,0.52993103538925,0.27031561311880586,87571
Knuckleball,78.3605231938326,5.09590552862773,1907.5692358259912,624.5252791928073,4.246879735682819,7.484918690291692,2.4184735682819385,9.159001267167714,-7.9195029030837,1.6342569854055746,-1.1684257687224668,2.032635097952532,5.795897577092512,0.5747780516663646,1.2934008149779737,1.3125056514023061,5.73502704845815,0.6260297891943252,0.5154236990473428,0.26751529559381343,454
OneSeamFastBall,87.4376775409836,4.262340598606685,2159.205700655738,195.72987889036952,10.575750166666666,7.895050155119133,8.52697175,9.997370477583232,-5.526864016393443,1.3799194293588406,-1.1041626229508197,1.558962745563049,5.2594534426229504,1.0500117298515566,1.5286453278688525,1.5022617084469254,5.959362131147541,0.5126253571922079,0.5099696228727648,0.22594110908174148,122
Other,81.76710257425744,6.469982844059396,1955.3507356733166,452.0430113251364,6.978651725,9.814174735955298,2.6035964749999994,10.757108609291592,-6.772914980198019,2.3279850329232947,-0.8575596163366337,2.605420370791675,5.637374876237624,0.5669003113590962,1.0182321534653465,1.6058811610079569,5.767326757425743,0.6063198264661674,0.5463875600804349,0.25041604154556857,404
Sinker,89.04935622472195,3.588180609968299,2129.7907440596905,199.74330373406886,8.2681141583957,4.943989632342999,9.3144838597086,14.112038003795655,-5.849619104749017,1.1412402230706764,-0.2803769530257538,1.4349830106484862,5.3405667565441695,0.6599713471376064,1.124564475747452,1.9448392214683017,5.896163430839137,0.5156038923512978,0.5175286785586043,0.2680802908363248,118235
Slider,79.23279526950472,3.8830408628011464,2340.3095022259363,289.1061219320615,0.5144789754868433,5.367959952828947,-4.205426039371997,9.343258793010033,-8.02511263723607,1.3881337473761228,-1.6936765853459312,2.963533388976925,5.588241868115333,0.5720006336941902,0.9670702112421468,1.7783582145993675,5.487558352319254,0.5277489684225701,0.5173526605398474,0.27966401305025734,511735
