scope,pitch_type,metric,value,sample_n
overall,,heater_velocity,85.62003463302752,218
overall,,heater_velocity,88.69560962616822,107
overall,,heater_velocity,89.92169903345726,269
overall,,heater_velocity,93.60272440776698,515
overall,,heater_velocity,90.92173222222222,81
overall,,heater_velocity,92.39964822222221,45
overall,,heater_velocity,90.42803712643678,174
overall,,heater_velocity,88.40628811594203,207
overall,,heater_velocity,88.78837608108108,74
overall,,heater_velocity,88.2824170212766,47
overall,,heater_velocity,90.09837339805826,206
overall,,heater_velocity,89.58256436619719,71
overall,,heater_velocity,90.35583548387096,186
overall,,heater_velocity,89.8093467191601,381
overall,,heater_velocity,86.6605460663507,633
overall,,heater_velocity,92.2232585910653,291
overall,,heater_velocity,92.38950678082192,292
overall,,heater_velocity,89.14145166666667,624
overall,,heater_velocity,91.39406067375887,282
overall,,heater_velocity,92.7474477014218,422
overall,,heater_velocity,92.05887624521073,261
overall,,heater_velocity,93.91854115789472,95
overall,,heater_velocity,94.23174408675798,438
overall,,heater_velocity,90.5521402542373,118
overall,,heater_velocity,84.76153690607735,362
overall,,heater_velocity,92.378386,70
overall,,heater_velocity,87.6143883518931,449
overall,,heater_velocity,88.68548446808511,188
overall,,heater_velocity,89.07265870967743,186
overall,,heater_velocity,88.3639472972973,111
overall,,heater_velocity,94.47581754010695,187
overall,,heater_velocity,90.15109752100841,238
overall,,heater_velocity,93.00514664031621,253
overall,,heater_velocity,90.27226035502959,169
overall,,heater_velocity,85.97782193251534,326
overall,,heater_velocity,79.85287676056338,71
overall,,heater_velocity,85.7751393220339,59
overall,,heater_velocity,87.52624050847457,295
overall,,heater_velocity,90.87763780373832,214
overall,,heater_velocity,90.99083227424748,299
overall,,heater_velocity,87.71444862068965,29
overall,,heater_velocity,87.98337032608696,92
overall,,heater_velocity,88.00678837349398,166
overall,,heater_velocity,87.99592626666666,375
overall,,heater_velocity,88.52097912663756,229
overall,,heater_velocity,83.53466527027027,148
overall,,heater_velocity,91.23769146616542,266
overall,,heater_velocity,88.65761703225807,310
overall,,heater_velocity,88.0650330625,160
overall,,heater_velocity,83.32844637931035,116
overall,,heater_velocity,86.59932988764045,267
overall,,heater_velocity,87.42198923809525,105
overall,,heater_velocity,97.32804516129033,341
overall,,heater_velocity,88.2367437398374,123
overall,,heater_velocity,90.35784369175627,279
overall,,heater_velocity,91.11543692307691,78
overall,,heater_velocity,87.42701361111111,36
overall,,heater_velocity,88.19128,110
overall,,heater_velocity,89.24573418918919,74
overall,,heater_velocity,87.14953903225806,31
overall,,heater_velocity,91.77354966666667,180
overall,,heater_velocity,86.04046835526316,152
overall,,heater_velocity,93.26126685714286,35
overall,,heater_velocity,92.95337694214875,121
overall,,heater_velocity,87.94450968531469,286
overall,,heater_velocity,90.50580304182509,263
overall,,heater_velocity,90.54473827309236,249
overall,,heater_velocity,89.02524993265993,594
overall,,heater_velocity,84.64434480620154,129
