hand,arm_angle_min,arm_angle_max,pitch_type,HB,IVB,sample_n,pitcher_n,source_file
RHP,-30,-25,Fastball,2.74414582,14.29672989,261,17,D1 Pitching:Hitting File.parquet
RHP,-30,-25,Sinker,18.02903971,-0.30578550,5024,26,D1 Pitching:Hitting File.parquet
RHP,-25,-20,Fastball,12.55859046,14.53285989,262,18,D1 Pitching:Hitting File.parquet
RHP,-25,-20,Sinker,18.68655652,4.17524538,2604,22,D1 Pitching:Hitting File.parquet
RHP,-20,-15,Fastball,13.13768735,15.20367774,1051,18,D1 Pitching:Hitting File.parquet
RHP,-20,-15,Sinker,16.89098503,4.09444519,1733,21,D1 Pitching:Hitting File.parquet
RHP,-15,-10,Fastball,9.88737985,14.27039542,1580,35,D1 Pitching:Hitting File.parquet
RHP,-15,-10,Sinker,17.27437940,2.34411672,4596,37,D1 Pitching:Hitting File.parquet
RHP,-10,-5,Fastball,13.02409714,14.77601111,4537,72,D1 Pitching:Hitting File.parquet
RHP,-10,-5,Sinker,17.34004624,6.00673574,7534,73,D1 Pitching:Hitting File.parquet
RHP,-5,0,Fastball,12.87879321,14.81463297,9645,133,D1 Pitching:Hitting File.parquet
RHP,-5,0,Sinker,17.31952434,5.82944461,14756,137,D1 Pitching:Hitting File.parquet
RHP,0,5,Fastball,11.68311970,15.64583276,22992,233,D1 Pitching:Hitting File.parquet
RHP,0,5,Sinker,17.65473234,6.63039160,17809,203,D1 Pitching:Hitting File.parquet
RHP,5,10,Fastball,11.56504075,15.84593392,34394,309,D1 Pitching:Hitting File.parquet
RHP,5,10,Sinker,16.90469778,7.22520794,19214,272,D1 Pitching:Hitting File.parquet
RHP,10,15,Fastball,11.28790793,16.15414167,53224,409,D1 Pitching:Hitting File.parquet
RHP,10,15,Sinker,16.72173087,7.60532180,20537,314,D1 Pitching:Hitting File.parquet
RHP,15,20,Fastball,10.63087871,16.69679084,74867,533,D1 Pitching:Hitting File.parquet
RHP,15,20,Sinker,16.91041375,7.75715945,22852,383,D1 Pitching:Hitting File.parquet
RHP,20,25,Fastball,9.73817832,17.12334830,77832,542,D1 Pitching:Hitting File.parquet
RHP,20,25,Sinker,16.21044145,7.65269125,14992,349,D1 Pitching:Hitting File.parquet
RHP,25,30,Fastball,9.77668760,17.40240178,70176,461,D1 Pitching:Hitting File.parquet
RHP,25,30,Sinker,16.38612395,8.01558680,11866,300,D1 Pitching:Hitting File.parquet
RHP,30,35,Fastball,9.27308084,17.66406294,59999,394,D1 Pitching:Hitting File.parquet
RHP,30,35,Sinker,16.26133053,8.09471325,7201,219,D1 Pitching:Hitting File.parquet
RHP,35,40,Fastball,8.91047313,17.51710051,56803,339,D1 Pitching:Hitting File.parquet
RHP,35,40,Sinker,16.36797576,8.63779778,5624,187,D1 Pitching:Hitting File.parquet
RHP,40,45,Fastball,8.27846013,18.32369209,42828,262,D1 Pitching:Hitting File.parquet
RHP,40,45,Sinker,16.37560900,8.45206485,3455,118,D1 Pitching:Hitting File.parquet
RHP,45,50,Fastball,8.73060477,18.34765005,33281,197,D1 Pitching:Hitting File.parquet
RHP,45,50,Sinker,15.94859866,8.05627139,2904,101,D1 Pitching:Hitting File.parquet
RHP,50,55,Fastball,8.00037253,18.63042686,21978,133,D1 Pitching:Hitting File.parquet
RHP,50,55,Sinker,16.46262787,8.41783817,904,55,D1 Pitching:Hitting File.parquet
RHP,55,60,Fastball,6.51487343,18.11091222,12001,87,D1 Pitching:Hitting File.parquet
RHP,55,60,Sinker,15.94098596,8.46048787,456,28,D1 Pitching:Hitting File.parquet
RHP,60,65,Fastball,7.33413104,19.11082948,16548,86,D1 Pitching:Hitting File.parquet
RHP,60,65,Sinker,16.33983264,8.22624729,425,39,D1 Pitching:Hitting File.parquet
RHP,65,70,Fastball,7.70050041,18.96652329,7652,59,D1 Pitching:Hitting File.parquet
RHP,65,70,Sinker,16.12095562,9.54779171,463,19,D1 Pitching:Hitting File.parquet
RHP,70,75,Fastball,6.38924413,19.35271854,7424,43,D1 Pitching:Hitting File.parquet
RHP,70,75,Sinker,17.15690238,8.20019331,302,19,D1 Pitching:Hitting File.parquet
RHP,75,80,Fastball,6.22337962,18.85019711,4766,24,D1 Pitching:Hitting File.parquet
RHP,75,80,Sinker,15.18696159,6.92626386,145,9,D1 Pitching:Hitting File.parquet
RHP,80,85,Fastball,6.87244622,20.64145455,3127,19,D1 Pitching:Hitting File.parquet
RHP,80,85,Sinker,17.61373226,5.69341194,31,4,D1 Pitching:Hitting File.parquet
RHP,85,90,Fastball,11.78210054,18.95474905,388,1,D1 Pitching:Hitting File.parquet
RHP,85,90,Sinker,16.36600000,8.44626000,11,1,D1 Pitching:Hitting File.parquet
