# Canonical display names for TrackMan team identifiers.
# Keep trackman_team_id unchanged in data; use team_name anywhere the code is shown to a user.
trackman_team_id	team_name
MTSU_BLU	Middle Tennessee Blue Raiders
MUR_RAC	Murray State Racers
NAV_MID	Navy Midshipmen
NCA_BUL	UNC Asheville Bulldogs
NCB	Northern Colorado Bears
NEB	Nebraska Cornhuskers
NEV_WOL	Nevada Wolf Pack
NEW_PRI	New Orleans Privateers
NIA_EAG	Niagara Purple Eagles
NIC_COL	Nicholls Colonels
NIU_HUS	Northern Illinois Huskies
NJI_HIG	NJIT Highlanders
NMS_AGG	New Mexico State Aggies
NOF_OSP	North Florida Ospreys
NOK_NOR	Northern Kentucky Norse
NOR_AGG	North Carolina A&T Aggies
NOR_BIS	North Dakota State Bison
NOR_CAT	Northwestern Wildcats
NOR_DEM	Northwestern State Demons
NOR_HUS	Northeastern Huskies
NOR_SPA	Norfolk State Spartans
NOR_TAR	North Carolina Tar Heels
NOR_WOL	NC State Wolfpack
NOT_IRI	Notre Dame Fighting Irish
OAK_GOL	Oakland Golden Grizzlies
OHI_BOB	Ohio Bobcats
OKL_COW	Oklahoma State Cowboys
OKL_SOO	Oklahoma Sooners
OLD_MON	Old Dominion Monarchs
OLE_REB	Ole Miss Rebels
ORA_GOL	Oral Roberts Golden Eagles
ORE_BEA	Oregon State Beavers
ORE_DUC	Oregon Ducks
ORL_FIR	Orleans Firebirds
OSU_BUC	Ohio State Buckeyes
PAC_TIG	Pacific Tigers
PEN_NIT	Penn State Nittany Lions
PEN_QUA	Penn Quakers
PEP_WAV	Pepperdine Waves
PIT_PAN	Pittsburgh Panthers
POR_PIL	Portland Pilots
PRA_PAN	Prairie View A&M Panthers
PRE_BLH	Presbyterian Blue Hose
PRI_TIG	Princeton Tigers
PUR_BOI	Purdue Boilermakers
PUR_FOR	Purdue Fort Wayne Mastodons
QUI_BOB	Quinnipiac Bobcats
QUN_RYL	Queens Royals
RAD_HIG	Radford Highlanders
RHO_RAM	Rhode Island Rams
RIC_OWL	Rice Owls
RIC_SPI	Richmond Spiders
RID_BRO	Rider Broncs
RUT_SCA	Rutgers Scarlet Knights
SAC_HOR	Sacramento State Hornets
SAC_PIO	Sacred Heart Pioneers
SAL_JAG	South Alabama Jaguars
SAM_BEA	Sam Houston State Bearkats
SAM_BUL	Samford Bulldogs
SAN_AZT	San Diego State Aztecs
SAN_BRO	Santa Clara Broncos
SAN_DON	San Francisco Dons
SAN_GAU	UC Santa Barbara Gauchos
SAN_SPA	San Jose State Spartans
SAN_TOR	San Diego Toreros
SBU_SEA	Stony Brook Seawolves
SEA_RED	Seattle Redhawks
SET_PIR	Seton Hall Pirates
SIE_SAI	Siena Saints
SIU_SAL	Southern Illinois Salukis
SLU_BILL	St. Louis Billikens
SOU_COU	SIU Edwardsville Cougars
SOU_GAM	South Carolina Gamecocks
SOU_GOL	Southern Miss Golden Eagles
SOU_IND16	Southern Indiana Screaming Eagles
SOU_JAC	South Dakota State Jackrabbits
SOU_JAG	Southern Jaguars
SOU_LIO	Southeastern Louisiana Lions
SOU_RED	Southeast Missouri State Redhawks
SOU_TRO	USC Trojans
SPU_PEA	Saint Peter's Peacocks
STA_CAR	Stanford Cardinal
STB_BON	St. Bonaventure Bonnies
STE_HAT	Stetson Hatters
STE_LUM	Stephen F. Austin Lumberjacks
STJ_HAW	St. Joseph's Hawks
STJ_RED	St. John's Red Storm
STM_GAE	Saint Mary's Gaels
STO_COL	Stonehill Skyhawks
TAR_TEX	Tarleton State Texans
TCU_HFG	TCU Horned Frogs
TEN_TEC	Tennessee Tech Golden Eagles
TEN_VOL	Tennessee Volunteers
TeamX	TrackMan placeholder team
TEX_AGG	Texas A&M Aggies
TEX_BOB	Texas State Bobcats
TEX_ISL	Texas A&M-Corpus Christi Islanders
TEX_LON	Texas Longhorns
TEX_RAI	Texas Tech Red Raiders
TEX_TIG	Texas Southern Tigers
THO_M	St. Thomas Tommies
TOL_ROC	Toledo Rockets
TOW_TIG	Towson Tigers
TRO_TRJ	Troy Trojans
TUL_GRE	Tulane Green Wave
UAB_BLA	UAB Blazers
UCF_KNI	Central Florida Knights
UCLA	UCLA Bruins
UCO_HUS	UConn Huskies
UIC_FLA	UIC Flames
ULM_WAR	Louisiana-Monroe Warhawks
UMA_AMH	UMass Minutemen
UMASS_RIV	UMass Lowell River Hawks
UMBC_RET	UMBC Retrievers
UNC_SEA	UNC Wilmington Seahawks
UNC_SPA	UNC Greensboro Spartans
UNI_WES	West Georgia Wolves
UNL_REB	UNLV Rebels
UNO_MAV	Omaha Mavericks
USC_UPS	USC Upstate Spartans
USF_BUL	South Florida Bulls
UTA_UTE	Utah Utes
UTA_WOL	Utah Valley Wolverines
UTM_SKY	UT Martin Skyhawks
UTR_VAQ	Texas-Rio Grande Valley Vaqueros
UTS_ROA	UTSA Roadrunners
UWM_PAN	Milwaukee Panthers
VAL_CRU	Valparaiso Crusaders
VAN_COM	Vanderbilt Commodores
VCU_RAM	Virginia Commonwealth Rams
VIL_WIL	Villanova Wildcats
VIR_CAV	Virginia Cavaliers
VIR_MIL	VMI Keydets
VIR_TEC	Virginia Tech Hokies
WAG_SEA	Wagner Seahawks
WAK_DEA	Wake Forest Demon Deacons
WAR_GAT	Wareham Gatemen
WAS_COU	Washington State Cougars
WAS_HUS	Washington Huskies
WCC	Western Carolina Catamounts
WES_HIL	Western Kentucky Hilltoppers
WES_MOU	West Virginia Mountaineers
WIC_SHO	Wichita State Shockers
WIN_EAG	Winthrop Eagles
WIU_LEA	Western Illinois Leathernecks
WM_TRI	William & Mary Tribe
WMI_BRO	Western Michigan Broncos
WOF_TER	Wofford Terriers
WRI_RAI	Wright State Raiders
XAV_MUS	Xavier Musketeers
YAL_BUL	Yale Bulldogs
YAR_RED	Yarmouth-Dennis Red Sox
YSU_PEN	Youngstown State Penguins
