"TaggedPitchType","Percentile","Value","Stat"
"Curveball",12,76.502518231372,"AvgVelo"
"Curveball",13,76.6008705644062,"AvgVelo"
"Curveball",14,76.7231137433098,"AvgVelo"
"Curveball",15,76.9251086719157,"AvgVelo"
"Curveball",16,77.0628862597048,"AvgVelo"
"Curveball",17,77.0717368921856,"AvgVelo"
"Curveball",18,77.1277269336394,"AvgVelo"
"Curveball",19,77.1747794750535,"AvgVelo"
"Curveball",20,77.213081026238,"AvgVelo"
"Curveball",21,77.2441171336947,"AvgVelo"
"Curveball",22,77.2715958392051,"AvgVelo"
"Curveball",23,77.3355340603486,"AvgVelo"
"Curveball",24,77.3904995624558,"AvgVelo"
"Curveball",25,77.4415983472573,"AvgVelo"
"Curveball",26,77.50256369521,"AvgVelo"
"Curveball",27,77.667093556949,"AvgVelo"
"Curveball",28,77.7985262610346,"AvgVelo"
"Curveball",29,77.8765394798572,"AvgVelo"
"Curveball",30,77.9062827395908,"AvgVelo"
"Curveball",31,77.9789558636373,"AvgVelo"
"Curveball",32,78.0486239606589,"AvgVelo"
"Curveball",33,78.2019189340426,"AvgVelo"
"Curveball",34,78.3781153386053,"AvgVelo"
"Curveball",35,78.3869385660435,"AvgVelo"
"Curveball",36,78.4943700354078,"AvgVelo"
"Curveball",37,78.5892285691126,"AvgVelo"
"Curveball",38,78.6733421184628,"AvgVelo"
"Curveball",39,78.7550857412714,"AvgVelo"
"Curveball",40,78.7613119324786,"AvgVelo"
"Curveball",41,78.7656204496121,"AvgVelo"
"Curveball",42,78.7784860577188,"AvgVelo"
"Curveball",43,78.8010133541687,"AvgVelo"
"Curveball",44,78.8114716795037,"AvgVelo"
"Curveball",45,78.8321800201963,"AvgVelo"
"Curveball",46,78.8503547273796,"AvgVelo"
"Curveball",47,78.8881505737803,"AvgVelo"
"Curveball",48,78.9971015098163,"AvgVelo"
"Curveball",49,79.4984964734293,"AvgVelo"
"Curveball",50,79.6942155574324,"AvgVelo"
"Curveball",51,79.7096772439784,"AvgVelo"
"Curveball",52,79.7195214912248,"AvgVelo"
"Curveball",53,79.7478510548605,"AvgVelo"
"Curveball",54,79.7807752591373,"AvgVelo"
"Curveball",55,79.8048644189478,"AvgVelo"
"Curveball",56,79.8338788479611,"AvgVelo"
"Curveball",57,79.956783023368,"AvgVelo"
"Curveball",58,80.0280025620845,"AvgVelo"
"Curveball",59,80.0977086264699,"AvgVelo"
"Curveball",60,80.1686418387373,"AvgVelo"
"Curveball",61,80.227071231309,"AvgVelo"
"Curveball",62,80.298657153176,"AvgVelo"
"Curveball",63,80.4024789517004,"AvgVelo"
"Curveball",64,80.5551056829885,"AvgVelo"
"Curveball",65,80.753475135691,"AvgVelo"
"Curveball",66,80.7879394029029,"AvgVelo"
"Curveball",67,80.8689328489802,"AvgVelo"
"Curveball",68,80.95300005646,"AvgVelo"
"Curveball",69,81.0478312682729,"AvgVelo"
"Curveball",70,81.2580114017102,"AvgVelo"
"Curveball",71,81.3012604365256,"AvgVelo"
"Curveball",72,81.3681194605258,"AvgVelo"
"Curveball",73,81.4563140494375,"AvgVelo"
"Curveball",74,81.504353321051,"AvgVelo"
"Curveball",75,81.5415866570801,"AvgVelo"
"Curveball",76,81.6521596432009,"AvgVelo"
"Curveball",77,81.7722675495577,"AvgVelo"
"Curveball",78,81.8536502183721,"AvgVelo"
"Curveball",79,81.9833435763691,"AvgVelo"
"Curveball",80,82.0530393766218,"AvgVelo"
"Curveball",81,82.0852624755185,"AvgVelo"
"Curveball",82,82.111056659521,"AvgVelo"
"Curveball",83,82.2075210183683,"AvgVelo"
"Curveball",84,82.2231247798191,"AvgVelo"
"Curveball",85,82.2496023044554,"AvgVelo"
