program_name,stats_team_name,source_group,njcaa_region,state,source_kind,source_url,include
Coastal Bend College,Coastal Bend College,Region 14,14,TX,pitching,https://region14.prestosports.com/sports/bsb/2025-26/teams/coastalbendcollege?view=lineup&pos=p,TRUE
Galveston College,Galveston College,Region 14,14,TX,fielding,https://region14.prestosports.com/sports/bsb/2025-26/teams/galvestoncollege?view=lineup&pos=f,TRUE
Galveston College,Galveston College,Region 14,14,TX,hitting,https://region14.prestosports.com/sports/bsb/2025-26/teams/galvestoncollege?view=lineup&pos=h,TRUE
Galveston College,Galveston College,Region 14,14,TX,pitching,https://region14.prestosports.com/sports/bsb/2025-26/teams/galvestoncollege?view=lineup&pos=p,TRUE
Navarro College,Navarro College,Region 14,14,TX,fielding,https://region14.prestosports.com/sports/bsb/2025-26/teams/navarrocollege?view=lineup&pos=f,TRUE
Navarro College,Navarro College,Region 14,14,TX,hitting,https://region14.prestosports.com/sports/bsb/2025-26/teams/navarrocollege?view=lineup&pos=h,TRUE
Navarro College,Navarro College,Region 14,14,TX,pitching,https://region14.prestosports.com/sports/bsb/2025-26/teams/navarrocollege?view=lineup&pos=p,TRUE
Northeast Texas Community College,Northeast Texas CC,Region 14,14,TX,fielding,https://region14.prestosports.com/sports/bsb/2025-26/teams/northeasttexascommunitycollege?view=lineup&pos=f,TRUE
Northeast Texas Community College,Northeast Texas CC,Region 14,14,TX,hitting,https://region14.prestosports.com/sports/bsb/2025-26/teams/northeasttexascommunitycollege?view=lineup&pos=h,TRUE
Northeast Texas Community College,Northeast Texas CC,Region 14,14,TX,pitching,https://region14.prestosports.com/sports/bsb/2025-26/teams/northeasttexascommunitycollege?view=lineup&pos=p,TRUE
Panola College,Panola College,Region 14,14,TX,fielding,https://region14.prestosports.com/sports/bsb/2025-26/teams/panolacollege?view=lineup&pos=f,TRUE
Panola College,Panola College,Region 14,14,TX,hitting,https://region14.prestosports.com/sports/bsb/2025-26/teams/panolacollege?view=lineup&pos=h,TRUE
Panola College,Panola College,Region 14,14,TX,pitching,https://region14.prestosports.com/sports/bsb/2025-26/teams/panolacollege?view=lineup&pos=p,TRUE
Paris Junior College,Paris Junior College,Region 14,14,TX,fielding,https://region14.prestosports.com/sports/bsb/2025-26/teams/parisjuniorcollege?view=lineup&pos=f,TRUE
Paris Junior College,Paris Junior College,Region 14,14,TX,hitting,https://region14.prestosports.com/sports/bsb/2025-26/teams/parisjuniorcollege?view=lineup&pos=h,TRUE
Paris Junior College,Paris Junior College,Region 14,14,TX,pitching,https://region14.prestosports.com/sports/bsb/2025-26/teams/parisjuniorcollege?view=lineup&pos=p,TRUE
San Jacinto College-North,San Jacinto College-North,Region 14,14,TX,sidearm_stats,https://sanjacsports.com/sports/baseball/stats,TRUE
Tyler Junior College,Tyler Junior College,Region 14,14,TX,fielding,https://region14.prestosports.com/sports/bsb/2025-26/teams/tylerjuniorcollege?view=lineup&pos=f,TRUE
Tyler Junior College,Tyler Junior College,Region 14,14,TX,hitting,https://region14.prestosports.com/sports/bsb/2025-26/teams/tylerjuniorcollege?view=lineup&pos=h,TRUE
Tyler Junior College,Tyler Junior College,Region 14,14,TX,pitching,https://region14.prestosports.com/sports/bsb/2025-26/teams/tylerjuniorcollege?view=lineup&pos=p,TRUE
Wharton County Junior College,Wharton County Junior College,Region 14,14,TX,fielding,https://region14.prestosports.com/sports/bsb/2025-26/teams/whartoncountyjuniorcollege?view=lineup&pos=f,TRUE
Wharton County Junior College,Wharton County Junior College,Region 14,14,TX,hitting,https://region14.prestosports.com/sports/bsb/2025-26/teams/whartoncountyjuniorcollege?view=lineup&pos=h,TRUE
Wharton County Junior College,Wharton County Junior College,Region 14,14,TX,pitching,https://region14.prestosports.com/sports/bsb/2025-26/teams/whartoncountyjuniorcollege?view=lineup&pos=p,TRUE
Amarillo College,Amarillo College,Region 5,5,TX,fielding,https://region5.prestosports.com/sports/bsb/2025-26/teams/amarillocollege?view=lineup&pos=f,TRUE
Amarillo College,Amarillo College,Region 5,5,TX,hitting,https://region5.prestosports.com/sports/bsb/2025-26/teams/amarillocollege?view=lineup&pos=h,TRUE
